timestamp,elapsed,angx,angy,heading,x,y,z,rcR,rcP,rcY,rcT,rPID,pPID
1433520085.94,0.016,-2.5,-0.5,-5.0,0,0,0,1500,1500,1500,1000,0.0,0.0
1433520085.96,0.016,-2.5,-0.5,-4.0,0,0,0,1500,1500,1500,1000,0.0,0.0
1433520085.97,0.016,-2.6,-0.5,-4.0,0,0,0,1500,1500,1500,1000,0.0,0.0
1433520085.99,0.016,-2.5,-0.4,-4.0,0,0,0,1500,1500,1500,1000,0.0,0.0
1433520086.01,0.016,-2.6,-0.4,-4.0,0,0,0,1500,1500,1500,1000,0.0,0.0
1433520086.02,0.016,-2.8,-0.4,-4.0,0,0,0,1500,1500,1500,1000,0.0,0.0
1433520086.02,0.016,-2.8,-0.4,-4.0,0,0,0,1500,1500,1500,1000,0.0,0.0
1433520086.04,0.016,-3.0,-0.4,-4.0,0,0,0,1500,1500,1500,1000,0.0,0.0
1433520086.05,0.016,-3.4,-0.4,-5.0,0,0,0,1500,1500,1500,1000,0.0,0.0
1433520086.07,0.016,-4.1,-0.3,-5.0,0,0,0,1500,1500,1500,1000,0.0,0.0
1433520086.09,0.016,-4.8,0.0,-6.0,0,0,0,1500,1500,1500,1000,0.0,0.0
1433520086.10,0.016,-5.0,1.4,-7.0,0,0,0,1500,1500,1500,1000,0.0,0.0
1433520086.12,0.016,-5.5,2.9,-8.0,0,0,0,1500,1500,1500,1000,0.0,0.0
1433520086.13,0.016,-6.2,4.8,-8.0,0,0,0,1500,1500,1500,1000,0.0,0.0
1433520086.13,0.016,-6.2,4.8,-8.0,0,0,0,1500,1500,1500,1000,0.0,0.0
1433520086.15,0.016,-6.3,7.5,-9.0,0,0,0,1500,1500,1500,1000,0.0,0.0
1433520086.17,0.016,-5.7,11.2,-9.0,0,0,0,1500,1500,1500,1000,0.0,0.0
1433520086.18,0.016,-5.9,13.5,-9.0,0,0,0,1500,1500,1500,1000,0.0,0.0
1433520086.20,0.016,-6.8,15.1,-9.0,0,0,0,1500,1500,1500,1000,0.0,0.0
1433520086.21,0.016,-7.5,17.3,-9.0,0,0,0,1500,1500,1500,1000,0.0,0.0
1433520086.23,0.016,-7.2,19.5,-9.0,0,0,0,1500,1500,1500,1000,0.0,0.0
1433520086.25,0.016,-7.7,21.5,-8.0,0,0,0,1500,1500,1500,1000,0.0,0.0
1433520086.25,0.016,-7.7,21.5,-8.0,0,0,0,1500,1500,1500,1000,0.0,0.0
1433520086.26,0.016,-9.3,22.6,-8.0,0,0,0,1500,1500,1500,1000,0.0,0.0
1433520086.28,0.016,-10.3,23.4,-8.0,0,0,0,1500,1500,1500,1000,0.0,0.0
1433520086.29,0.016,-10.4,23.7,-9.0,0,0,0,1500,1500,1500,1000,0.0,0.0
1433520086.31,0.016,-10.9,23.0,-9.0,0,0,0,1500,1500,1500,1000,0.0,0.0
1433520086.33,0.016,-12.7,21.4,-11.0,0,0,0,1500,1500,1500,1000,0.0,0.0
1433520086.34,0.016,-13.3,20.3,-12.0,0,0,0,1500,1500,1500,1000,0.0,0.0
1433520086.36,0.016,-11.2,21.5,-13.0,0,0,0,1500,1500,1500,1000,0.0,0.0
1433520086.37,0.016,-8.7,23.3,-14.0,0,0,0,1500,1500,1500,1000,0.0,0.0
1433520086.39,0.016,-6.2,25.8,-15.0,0,0,0,1500,1500,1500,1000,0.0,0.0
1433520086.41,0.016,-5.9,25.9,-15.0,0,0,0,1500,1500,1500,1000,0.0,0.0
1433520086.41,0.016,-5.9,25.9,-15.0,0,0,0,1500,1500,1500,1000,0.0,0.0
1433520086.42,0.016,-6.3,24.6,-16.0,0,0,0,1500,1500,1500,1000,0.0,0.0
1433520086.44,0.016,-5.7,23.6,-17.0,0,0,0,1500,1500,1500,1000,0.0,0.0
1433520086.45,0.016,-4.8,23.3,-18.0,0,0,0,1500,1500,1500,1000,0.0,0.0
1433520086.47,0.016,-4.0,22.8,-19.0,0,0,0,1500,1500,1500,1000,0.0,0.0
